sq_mt_built,sq_mt_built_imputed_flag,n_rooms,n_bathrooms,n_bathrooms_imputed_flag,n_floors,n_floors_imputed_flag,street_name,floor,floor_imputed_flag,is_floor_under,buy_price,buy_price_by_area,is_renewal_needed,is_new_development,is_new_development_imputed_flag,built_year,built_year_imputed_flag,has_ac,has_fitted_wardrobes,has_lift,has_lift_imputed_flag,is_exterior,is_exterior_imputed_flag,has_garden,has_pool,has_terrace,has_balcony,has_storage_room,is_accessible,has_green_zones,energy_certificate,has_parking,is_parking_included_in_price,parking_price,is_orientation_north,is_orientation_west,is_orientation_south,is_orientation_east,house_type_cat,house_type_name,neighborhood_code,neighborhood_name,neighborhood_price_sqm,district_code,district_name,heating_type
77.0,0,2,1.0,0,0.0,1,Calle Esperanza Sánchez Carrascosa,2,0,False,279000,3623,True,False,0,2020.0,1,False,False,True,0,True,0,,,,,,,,en trámite,False,,,,,,,1,Pisos,115,Valdeacederas,3163.8,17,Tetuán,unknown
50.0,0,2,1.0,0,0.0,1,Calle del Marqués de Viana,3,0,False,249000,4980,False,False,0,1960.0,1,False,True,False,0,False,0,,,,,,,,no indicado,False,,,False,False,True,True,1,Pisos,112,Berruguete,3273.56,17,Tetuán,unknown
71.0,0,1,1.0,0,0.0,1,Calle de la Infanta Mercedes,7,0,False,320000,4507,False,False,0,1973.0,1,True,True,True,0,True,0,,,,,,,True,en trámite,True,True,0.0,,,,,1,Pisos,114,Cuzco-Castillejos,4347.59,17,Tetuán,unknown
39.0,0,0,1.0,0,0.0,1,Calle Carolinas,Bajo,0,True,170000,4359,False,False,0,1925.0,1,True,True,False,0,True,0,,,,,,,,A,False,,,,,,,0,Estudio,111,Bellas Vistas,3536.07,17,Tetuán,individual
77.0,0,3,1.0,0,0.0,1,Avenida del Doctor Federico Rubio y Galí,1,0,False,253000,3286,False,False,0,1925.0,1,True,True,True,0,False,0,,,,,,True,,no indicado,False,,,,,,,1,Pisos,111,Bellas Vistas,3536.07,17,Tetuán,central
44.0,0,0,1.0,0,0.0,1,Calle de la Infanta Mercedes,3,0,False,260000,5909,False,False,0,2000.0,0,True,False,True,0,True,0,,True,,,,True,,E,True,True,0.0,False,False,False,True,0,Estudio,114,Cuzco-Castillejos,4347.59,17,Tetuán,individual
112.0,0,0,1.0,0,0.0,1,Calle Mariano Fernández,Bajo,0,True,259470,2317,False,False,0,1959.0,0,True,False,False,0,True,0,,,,,True,True,,A,False,,,False,False,True,False,0,Estudio,112,Berruguete,3273.56,17,Tetuán,individual
82.0,0,2,2.0,0,0.0,1,Calle Carlos Rubio,4,0,False,315000,3841,False,False,0,1925.0,1,False,True,False,0,True,0,,,,,,,,en trámite,False,,,,,,,1,Pisos,111,Bellas Vistas,3536.07,17,Tetuán,individual
47.0,0,0,1.0,0,0.0,1,Calle de San Germán,Bajo,0,True,220000,4681,False,False,0,2019.0,0,True,False,True,0,True,0,,True,,,True,,True,no indicado,True,False,20000.0,,,,,0,Estudio,113,Cuatro Caminos,4247.49,17,Tetuán,individual
78.0,0,3,1.0,0,0.0,1,"Calle de San Benito, Madrid",3,0,False,189000,2423,False,False,0,1957.0,0,False,True,False,0,True,0,,,True,,,,,E,False,,,,,,,1,Pisos,116,Ventilla-Almenara,3314.54,17,Tetuán,individual
142.0,0,4,2.0,0,0.0,1,Calle Sor Ángela de la Cruz,6,0,False,570000,4014,False,False,0,1965.0,0,True,True,True,0,True,0,,,True,,,,,no indicado,False,,,True,False,False,False,1,Pisos,114,Cuzco-Castillejos,4347.59,17,Tetuán,central
81.0,0,3,1.0,0,0.0,1,Calle de Matilde Landa,2,0,False,250000,3086,True,False,0,1981.0,1,False,False,False,0,True,0,,,,,True,,,en trámite,False,,,False,True,True,False,1,Pisos,116,Ventilla-Almenara,3314.54,17,Tetuán,unknown
35.0,0,1,1.0,0,0.0,1,Tablada,1,0,False,120000,3429,False,False,0,1960.0,0,False,True,False,0,False,0,,,,,,,,no indicado,False,,,False,False,True,False,1,Pisos,112,Berruguete,3273.56,17,Tetuán,individual
60.0,0,2,1.0,0,0.0,1,santa juliana,3,0,False,239000,3983,False,False,0,1920.0,0,True,True,True,0,True,0,,,,True,,,,en trámite,False,,,False,False,True,False,1,Pisos,111,Bellas Vistas,3536.07,17,Tetuán,individual
55.0,0,1,1.0,0,0.0,1,Calle Nuestra Señora del Carmen,1,0,False,280000,5091,False,False,0,1960.0,1,False,True,True,0,True,0,,,,,True,,,en trámite,True,True,0.0,False,False,False,True,1,Pisos,112,Berruguete,3273.56,17,Tetuán,unknown
120.0,0,4,2.0,0,0.0,1,Calle de Pedro Teixeira,2,0,False,530000,4417,False,False,0,1960.0,1,False,True,True,0,True,0,,,,,True,True,,en trámite,False,,,,,,,1,Pisos,113,Cuatro Caminos,4247.49,17,Tetuán,central
107.0,0,3,2.0,0,0.0,1,Calle Nuestra Señora del Carmen,1,0,False,265000,2477,True,False,0,1960.0,0,False,True,True,0,True,0,,,,True,,True,,en trámite,False,,,,,,,1,Pisos,112,Berruguete,3273.56,17,Tetuán,individual
84.0,0,3,1.0,0,0.0,1,Valdeacederas,3,0,False,230000,2738,False,False,0,2020.0,1,False,False,False,0,True,0,,,,,,,,en trámite,True,True,0.0,False,True,False,True,1,Pisos,115,Valdeacederas,3163.8,17,Tetuán,individual
26.0,0,1,1.0,0,0.0,1,Calle de Bravo Murillo,Bajo,0,True,122000,4692,False,False,0,1986.0,0,False,True,False,0,False,0,,,,,,True,,en trámite,False,,,False,False,True,False,4,Dúplex,111,Bellas Vistas,3536.07,17,Tetuán,individual
231.0,0,4,3.0,0,0.0,1,Paseo de la Castellana,6,0,False,975000,4221,True,False,0,1965.0,0,False,False,True,0,True,0,,,True,,True,,,en trámite,True,True,0.0,False,False,False,True,1,Pisos,114,Cuzco-Castillejos,4347.59,17,Tetuán,central
38.0,0,0,1.0,0,0.0,1,Calle Pinos Alta,Entreplanta exterior,0,True,136000,3579,False,False,0,1992.0,0,True,True,True,0,True,0,,,,,,,,en trámite,False,,,False,False,True,False,0,Estudio,116,Ventilla-Almenara,3314.54,17,Tetuán,individual
60.0,0,2,1.0,0,0.0,1,Calle de San Raimundo,Bajo,0,True,174000,2900,False,False,0,1925.0,1,True,True,False,0,True,0,,,,,,,,en trámite,False,,,False,False,True,False,1,Pisos,111,Bellas Vistas,3536.07,17,Tetuán,individual
